2009-76,09,18,19,25,28,31,06
2009-77,01,09,14,16,28,32,16
2009-78,05,07,12,14,15,20,13
2009-79,02,09,16,21,30,31,13
2009-80,01,11,13,25,32,33,06
2009-81,04,05,06,25,29,30,03
2009-82,11,15,18,21,27,29,02
2009-83,02,08,12,18,24,28,04
2009-84,04,09,11,20,32,33,13
2009-85,04,08,12,17,20,30,03
2009-86,11,12,13,18,23,32,11
2009-87,06,11,13,20,28,32,06
2009-88,04,07,11,15,16,17,02
2009-89,02,03,07,11,19,32,04
2009-90,07,09,14,20,23,30,14
2009-91,03,08,11,14,25,29,04
2009-92,02,06,07,14,18,31,08
2009-93,01,11,20,31,32,33,01
2009-94,03,16,22,25,26,33,14
2009-95,08,09,14,28,31,33,15
2009-96,01,26,27,31,32,33,03
2009-97,07,13,24,26,28,32,14
2009-98,03,14,15,20,23,30,02
2009-99,08,09,18,20,25,29,09
2009-100,02,11,17,27,30,33,11
2009-101,01,02,05,10,19,24,14
2009-102,03,05,07,08,14,31,10
2009-103,06,11,17,20,23,24,09
2009-104,20,22,26,29,30,32,16
2009-105,02,08,10,16,27,30,15
2009-106,01,02,15,18,20,29,04
2009-107,07,08,20,23,28,29,05
2009-108,04,10,17,28,32,33,02
2009-109,05,06,07,14,25,28,01
2009-110,04,10,13,15,19,30,14
2009-111,02,04,07,14,15,25,15
2009-112,06,07,18,24,30,32,09
2009-113,04,12,20,25,28,29,16
2009-114,03,05,11,12,31,32,11
2009-115,02,09,13,15,19,24,03
2009-116,05,17,21,25,27,32,14
2009-117,05,09,15,21,26,31,13
2009-118,12,16,25,26,27,31,05
2009-119,06,07,10,12,15,21,05
2009-120,01,02,08,12,16,30,16
2009-121,02,04,06,10,25,30,09
2009-122,07,14,16,27,29,32,01
2009-123,09,13,20,22,25,28,14
2009-124,03,04,22,23,28,30,10
2009-125,06,07,08,22,26,27,12
2009-126,03,05,06,10,19,23,15
2009-127,02,11,12,14,15,16,04
2009-128,05,08,15,16,26,32,01
2009-129,06,07,16,17,24,25,07
2009-130,02,03,07,12,13,30,11
2009-131,16,23,25,26,32,33,05
2009-132,04,14,15,21,23,30,07
2009-133,05,09,13,18,20,32,01
2009-134,03,05,12,15,28,33,06
2009-135,01,03,14,19,30,33,16
2009-136,01,04,14,22,30,33,01
2009-137,08,12,14,15,17,21,01
2009-138,04,07,14,26,32,33,14
2009-139,01,05,15,17,27,29,02
2009-140,04,05,11,18,22,33,12
2009-141,02,13,21,28,29,31,09
2009-142,07,11,15,19,20,24,13
2009-143,05,09,11,17,23,28,10
2009-144,01,05,10,17,18,29,12
2009-145,03,05,11,15,26,33,11
2009-146,03,09,16,20,22,33,15
2009-147,06,08,10,18,22,32,16
2009-148,06,12,15,22,29,32,10
2009-149,01,03,16,18,22,29,04
2009-150,04,06,07,16,19,20,04
2009-151,06,08,10,16,25,30,14
2009-152,03,04,19,21,27,28,05
2009-153,06,07,08,20,21,25,10
2009-154,01,07,12,14,18,25,16
2010-1,07,17,18,27,29,32,13
2010-2,03,06,07,23,30,33,13
2010-3,14,22,26,27,28,31,04
2010-4,01,12,13,16,23,28,07
2010-5,03,05,06,08,17,18,14
2010-6,03,05,07,13,14,18,05
2010-7,14,22,27,28,30,33,14
2010-8,05,07,13,15,18,30,14
2010-9,01,09,13,21,24,32,06
2010-10,07,08,12,15,22,26,08
2010-11,07,08,14,22,24,30,07
2010-12,02,08,13,14,25,33,10
2010-13,01,02,03,16,18,23,12
2010-14,01,03,07,14,26,28,02
2010-15,01,04,16,21,23,28,06
2010-16,02,08,10,12,30,33,16
2010-17,01,03,06,11,12,23,11
2010-18,11,28,29,30,32,33,02
2010-19,02,10,22,24,26,27,06
2010-20,05,06,14,22,24,26,09
2010-21,02,09,16,17,19,25,04
2010-22,01,02,18,29,31,32,02
2010-23,02,09,11,22,24,27,11
2010-24,07,16,26,27,29,31,14
2010-25,04,05,07,10,13,25,11
2010-26,02,04,05,08,19,22,12
2010-27,03,04,15,25,26,30,13
2010-28,01,03,06,12,16,32,12
2010-29,01,05,14,16,17,22,03
2010-30,03,06,10,16,25,31,05
2010-31,05,07,13,24,25,28,04
2010-32,08,18,21,28,29,33,08
2010-33,08,10,11,12,25,29,09
2010-34,06,11,13,22,25,32,12
2010-35,09,10,11,18,19,21,10
2010-36,06,13,14,28,29,30,08
2010-37,03,16,19,21,24,26,06
2010-38,01,06,07,11,13,16,01
2010-39,08,17,21,23,25,32,12
2010-40,12,19,24,25,30,32,11
2010-41,03,05,13,19,25,29,12
2010-42,03,06,11,20,31,32,10
2010-43,04,10,19,22,28,33,04
2010-44,03,09,21,23,27,31,05
2010-45,02,03,04,13,20,29,01
2010-46,11,12,21,23,27,32,05
2010-47,03,10,13,20,21,32,15
2010-48,01,06,08,10,23,33,02
2010-49,01,06,10,26,27,28,02
2010-50,07,21,22,26,28,30,11
2010-51,04,17,23,27,28,32,03
2010-52,01,02,19,23,27,29,10
2010-53,03,22,24,27,28,30,14
2010-54,01,06,08,12,14,25,06
2010-55,02,03,13,19,20,23,08
2010-56,01,02,03,08,13,32,07
2010-57,05,11,12,19,25,32,05
2010-58,01,04,11,17,19,29,12
2010-59,01,09,11,12,18,30,10
2010-60,01,08,15,18,22,27,09
2010-61,02,04,16,19,22,26,12
2010-62,11,13,15,20,31,33,03
2010-63,02,06,10,17,23,24,03
2010-64,08,14,25,26,30,31,11
2010-65,02,07,08,17,30,32,12
2010-66,01,03,21,22,31,32,07
2010-67,01,07,10,14,21,25,01
2010-68,03,13,18,20,23,28,13
2010-69,12,14,20,22,24,32,11
2010-70,08,13,23,27,31,33,07
2010-71,05,13,14,17,20,26,01
2010-72,06,08,22,23,30,31,01
2010-73,01,16,20,23,27,31,02
2010-74,02,10,17,18,19,29,15
2010-75,05,09,12,13,15,22,14
2010-76,01,12,14,29,31,32,15
2010-77,02,08,14,20,21,24,09
2010-78,01,03,09,11,17,23,12
2010-79,08,11,12,14,18,22,02
2010-80,08,10,13,14,16,23,16
2010-81,02,03,09,24,26,27,05
2010-82,01,08,13,14,27,31,02
2010-83,02,20,21,22,23,31,12
2010-84,02,10,14,18,20,30,03
2010-85,01,08,12,13,24,27,08
2010-86,05,21,28,29,30,31,08
2010-87,01,08,16,17,25,30,10
2010-88,05,06,15,23,27,30,12
2010-89,07,08,09,16,23,26,01
2010-90,01,06,10,15,25,31,14
2010-91,06,13,16,20,22,24,16
2010-92,03,13,19,27,28,30,02
2010-93,09,10,19,28,32,33,06
2010-94,03,05,07,27,31,32,10
2010-95,09,11,16,17,25,27,14
2010-96,07,12,21,23,24,28,03
2010-97,10,16,18,21,24,26,01
2010-98,01,03,08,16,29,33,07
2010-99,03,04,17,24,27,30,06
2010-100,01,06,12,22,23,26,08
2010-101,04,09,18,21,25,26,06
2010-102,04,11,16,20,22,29,10
2010-103,06,09,14,17,20,33,09
2010-104,07,17,23,24,27,32,02
2010-105,01,08,09,19,21,31,11
2010-106,02,06,08,15,26,29,16
2010-107,08,12,15,17,22,33,16
2010-108,02,04,08,20,23,24,07
2010-109,04,15,18,25,29,32,15
2010-110,01,03,12,24,26,27,01
2010-111,04,07,08,13,17,18,10
